date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:56	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:56%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10980174.html)
09:16:57	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:57%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/03.html)
09:16:58	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:58%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/03.html)
09:16:59	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:59%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10968946.html)
09:17:00	1512387/1512387	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:28%20GMT	https://www.cnblogs.com/xinxianquan/p/10708687.html	www.cnblogs.com/xinxianquan/p/10708687.html	(from https://www.cnblogs.com/xinxianquan/)
09:17:00	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:17:00%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10968946.html)
09:17:01	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:17:01%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/02.html)
09:17:02	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:17:02%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/02.html)
09:17:03	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:17:03%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10963436.html)
09:17:04	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:17:04%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10963436.html)
